Week,Match,Season XXXIV,Start Date:,1/19/26,DIVISIONS,,
7,66,Bowl Durham,Thoughts and Spares,11/12,,,2026-04-13
7,67,E-Bowla,Stinky Cheese,13/14,,,2026-04-13
7,68,Fancy Pants,Smoke-A-Bowl,15/16,,,2026-04-13
7,69,Sparadigm Shift,Guttersnipes,17/18,,,2026-04-13
7,70,Wild Llamas,Pin-Ups,19/20,,,2026-04-13
8,71,Lucky Strikes,The Boom Kings,1/2,,,2026-04-20
8,72,Smoke-A-Bowl,Alley Oops,3/4,,,2026-04-20
8,73,Sparadigm Shift,Gutterglory,5/6,,,2026-04-20
8,74,Pin-Ups,Valley of the Balls,7/8,,,2026-04-20
8,75,Stinky Cheese,Hot Shotz,9/10,,,2026-04-20
8,76,HOT FUN,Fancy Pants,11/12,,,2026-04-20
8,77,Guttersnipes,Guttermouths,13/14,,,2026-04-20
8,78,Wild Llamas,Bowl Durham,15/16,,,2026-04-20
8,79,Grandma's Teeth,E-Bowla,17/18,,,2026-04-20
8,80,Thoughts and Spares,Living on a Spare,19/20,,,2026-04-20
9,81,Smoke-A-Bowl,Thoughts and Spares,1/2,,,2026-05-04
9,82,E-Bowla,Guttermouths,3/4,,,2026-05-04
9,83,Pin-Ups,Living on a Spare,5/6,,,2026-05-04
9,84,Guttersnipes,The Boom Kings,7/8,,,2026-05-04
9,85,Fancy Pants,Valley of the Balls,9/10,,,2026-05-04
9,86,Grandma's Teeth,Gutterglory,11/12,,,2026-05-04
9,87,HOT FUN,Bowl Durham,13/14,,,2026-05-04
9,88,Sparadigm Shift,Hot Shotz,15/16,,,2026-05-04
9,89,Wild Llamas,Alley Oops,17/18,,,2026-05-04
9,90,Stinky Cheese,Lucky Strikes,19/20,,,2026-05-04
10,91,,,,,,
10,92,,,,,,
10,93,,,,,,
